input,output,smth,label,tokenized_input
111 t1 t3 .,111 010 101,0 1 2 3,0,"[101, 11118, 1056, 2487, 1056, 2509, 1012, 102, 11118, 5890, 2692, 7886, 102, 0, 0, 0]"
111 t6 t5 .,111 100 101,0 1 2 3,1,"[101, 11118, 1056, 2575, 1056, 2629, 1012, 102, 11118, 2531, 7886, 102, 0, 0, 0, 0]"
001 t2 t5 .,001 010 110,0 1 2 3,0,"[101, 25604, 1056, 2475, 1056, 2629, 1012, 102, 25604, 5890, 2692, 7287, 102, 0, 0, 0]"
100 t1 t2 .,100 100 101,0 1 2 3,0,"[101, 2531, 1056, 2487, 1056, 2475, 1012, 102, 2531, 2531, 7886, 102, 0, 0, 0, 0]"
101 t4 t3 .,101 000 110,0 1 2 3,0,"[101, 7886, 1056, 2549, 1056, 2509, 1012, 102, 7886, 2199, 7287, 102, 0, 0, 0, 0]"
101 t5 t2 .,101 100 110,0 1 2 3,0,"[101, 7886, 1056, 2629, 1056, 2475, 1012, 102, 7886, 2531, 7287, 102, 0, 0, 0, 0]"
100 t8 .,100 100,0 1 2,0,"[101, 2531, 1056, 2620, 1012, 102, 2531, 2531, 102, 0, 0, 0, 0, 0, 0, 0]"
010 t4 .,010 000,0 1 2,0,"[101, 5890, 2692, 1056, 2549, 1012, 102, 5890, 2692, 2199, 102, 0, 0, 0, 0, 0]"
110 t8 .,110 101,0 1 2,1,"[101, 7287, 1056, 2620, 1012, 102, 7287, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
000 t4 t1 .,000 000 110,0 1 2 3,1,"[101, 2199, 1056, 2549, 1056, 2487, 1012, 102, 2199, 2199, 7287, 102, 0, 0, 0, 0]"
001 t6 t6 .,001 001 110,0 1 2 3,0,"[101, 25604, 1056, 2575, 1056, 2575, 1012, 102, 25604, 25604, 7287, 102, 0, 0, 0, 0]"
011 t2 t3 .,011 111 110,0 1 2 3,1,"[101, 5890, 2487, 1056, 2475, 1056, 2509, 1012, 102, 5890, 2487, 11118, 7287, 102, 0, 0]"
101 t4 t5 .,101 001 000,0 1 2 3,1,"[101, 7886, 1056, 2549, 1056, 2629, 1012, 102, 7886, 25604, 2199, 102, 0, 0, 0, 0]"
110 t2 t5 .,110 000 001,0 1 2 3,1,"[101, 7287, 1056, 2475, 1056, 2629, 1012, 102, 7287, 2199, 25604, 102, 0, 0, 0, 0]"
111 t2 t4 .,111 100 111,0 1 2 3,1,"[101, 11118, 1056, 2475, 1056, 2549, 1012, 102, 11118, 2531, 11118, 102, 0, 0, 0, 0]"
101 t3 t2 .,101 000 101,0 1 2 3,1,"[101, 7886, 1056, 2509, 1056, 2475, 1012, 102, 7886, 2199, 7886, 102, 0, 0, 0, 0]"
011 t3 t2 .,011 100 110,0 1 2 3,1,"[101, 5890, 2487, 1056, 2509, 1056, 2475, 1012, 102, 5890, 2487, 2531, 7287, 102, 0, 0]"
111 t7 .,111 010,0 1 2,1,"[101, 11118, 1056, 2581, 1012, 102, 11118, 5890, 2692, 102, 0, 0, 0, 0, 0, 0]"
001 t1 t3 .,001 010 010,0 1 2 3,0,"[101, 25604, 1056, 2487, 1056, 2509, 1012, 102, 25604, 5890, 2692, 5890, 2692, 102, 0, 0]"
101 t4 t1 .,101 100 010,0 1 2 3,0,"[101, 7886, 1056, 2549, 1056, 2487, 1012, 102, 7886, 2531, 5890, 2692, 102, 0, 0, 0]"
110 t4 t3 .,110 110 001,0 1 2 3,1,"[101, 7287, 1056, 2549, 1056, 2509, 1012, 102, 7287, 7287, 25604, 102, 0, 0, 0, 0]"
101 t5 t5 .,101 100 011,0 1 2 3,0,"[101, 7886, 1056, 2629, 1056, 2629, 1012, 102, 7886, 2531, 5890, 2487, 102, 0, 0, 0]"
010 t2 t2 .,010 111 001,0 1 2 3,0,"[101, 5890, 2692, 1056, 2475, 1056, 2475, 1012, 102, 5890, 2692, 11118, 25604, 102, 0, 0]"
000 t5 t4 .,000 001 100,0 1 2 3,1,"[101, 2199, 1056, 2629, 1056, 2549, 1012, 102, 2199, 25604, 2531, 102, 0, 0, 0, 0]"
010 t1 t4 .,010 001 000,0 1 2 3,0,"[101, 5890, 2692, 1056, 2487, 1056, 2549, 1012, 102, 5890, 2692, 25604, 2199, 102, 0, 0]"
101 t4 t2 .,101 001 001,0 1 2 3,1,"[101, 7886, 1056, 2549, 1056, 2475, 1012, 102, 7886, 25604, 25604, 102, 0, 0, 0, 0]"
011 t5 .,011 100,0 1 2,1,"[101, 5890, 2487, 1056, 2629, 1012, 102, 5890, 2487, 2531, 102, 0, 0, 0, 0, 0]"
100 t5 t1 .,100 111 111,0 1 2 3,0,"[101, 2531, 1056, 2629, 1056, 2487, 1012, 102, 2531, 11118, 11118, 102, 0, 0, 0, 0]"
110 t6 .,110 000,0 1 2,0,"[101, 7287, 1056, 2575, 1012, 102, 7287, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
100 t5 t1 .,100 101 000,0 1 2 3,1,"[101, 2531, 1056, 2629, 1056, 2487, 1012, 102, 2531, 7886, 2199, 102, 0, 0, 0, 0]"
111 t6 t1 .,111 100 110,0 1 2 3,0,"[101, 11118, 1056, 2575, 1056, 2487, 1012, 102, 11118, 2531, 7287, 102, 0, 0, 0, 0]"
101 t2 t2 .,101 100 111,0 1 2 3,0,"[101, 7886, 1056, 2475, 1056, 2475, 1012, 102, 7886, 2531, 11118, 102, 0, 0, 0, 0]"
110 t5 .,110 111,0 1 2,0,"[101, 7287, 1056, 2629, 1012, 102, 7287, 11118, 102, 0, 0, 0, 0, 0, 0, 0]"
011 t3 .,011 100,0 1 2,1,"[101, 5890, 2487, 1056, 2509, 1012, 102, 5890, 2487, 2531, 102, 0, 0, 0, 0, 0]"
100 t3 t2 .,100 011 111,0 1 2 3,1,"[101, 2531, 1056, 2509, 1056, 2475, 1012, 102, 2531, 5890, 2487, 11118, 102, 0, 0, 0]"
111 t8 .,111 000,0 1 2,0,"[101, 11118, 1056, 2620, 1012, 102, 11118, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t1 t4 .,110 111 001,0 1 2 3,0,"[101, 7287, 1056, 2487, 1056, 2549, 1012, 102, 7287, 11118, 25604, 102, 0, 0, 0, 0]"
110 t1 t1 .,110 001 111,0 1 2 3,0,"[101, 7287, 1056, 2487, 1056, 2487, 1012, 102, 7287, 25604, 11118, 102, 0, 0, 0, 0]"
000 t1 t2 .,000 000 011,0 1 2 3,0,"[101, 2199, 1056, 2487, 1056, 2475, 1012, 102, 2199, 2199, 5890, 2487, 102, 0, 0, 0]"
100 t4 t6 .,100 111 100,0 1 2 3,1,"[101, 2531, 1056, 2549, 1056, 2575, 1012, 102, 2531, 11118, 2531, 102, 0, 0, 0, 0]"
110 t1 t3 .,110 111 110,0 1 2 3,1,"[101, 7287, 1056, 2487, 1056, 2509, 1012, 102, 7287, 11118, 7287, 102, 0, 0, 0, 0]"
110 t2 t4 .,110 100 010,0 1 2 3,0,"[101, 7287, 1056, 2475, 1056, 2549, 1012, 102, 7287, 2531, 5890, 2692, 102, 0, 0, 0]"
011 t2 .,011 111,0 1 2,1,"[101, 5890, 2487, 1056, 2475, 1012, 102, 5890, 2487, 11118, 102, 0, 0, 0, 0, 0]"
010 t1 t5 .,010 111 011,0 1 2 3,0,"[101, 5890, 2692, 1056, 2487, 1056, 2629, 1012, 102, 5890, 2692, 11118, 5890, 2487, 102, 0]"
000 t6 t5 .,000 011 100,0 1 2 3,1,"[101, 2199, 1056, 2575, 1056, 2629, 1012, 102, 2199, 5890, 2487, 2531, 102, 0, 0, 0]"
010 t2 t1 .,010 110 101,0 1 2 3,0,"[101, 5890, 2692, 1056, 2475, 1056, 2487, 1012, 102, 5890, 2692, 7287, 7886, 102, 0, 0]"
101 t1 .,101 000,0 1 2,1,"[101, 7886, 1056, 2487, 1012, 102, 7886, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
001 t6 t6 .,001 010 101,0 1 2 3,1,"[101, 25604, 1056, 2575, 1056, 2575, 1012, 102, 25604, 5890, 2692, 7886, 102, 0, 0, 0]"
010 t6 t5 .,010 101 010,0 1 2 3,1,"[101, 5890, 2692, 1056, 2575, 1056, 2629, 1012, 102, 5890, 2692, 7886, 5890, 2692, 102, 0]"
101 t4 .,101 000,0 1 2,0,"[101, 7886, 1056, 2549, 1012, 102, 7886, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
010 t5 t5 .,010 110 011,0 1 2 3,1,"[101, 5890, 2692, 1056, 2629, 1056, 2629, 1012, 102, 5890, 2692, 7287, 5890, 2487, 102, 0]"
100 t6 .,100 110,0 1 2,1,"[101, 2531, 1056, 2575, 1012, 102, 2531, 7287, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t2 .,110 101,0 1 2,0,"[101, 7287, 1056, 2475, 1012, 102, 7287, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
101 t8 .,101 011,0 1 2,1,"[101, 7886, 1056, 2620, 1012, 102, 7886, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
000 t5 t2 .,000 001 100,0 1 2 3,0,"[101, 2199, 1056, 2629, 1056, 2475, 1012, 102, 2199, 25604, 2531, 102, 0, 0, 0, 0]"
010 t6 .,010 011,0 1 2,0,"[101, 5890, 2692, 1056, 2575, 1012, 102, 5890, 2692, 5890, 2487, 102, 0, 0, 0, 0]"
101 t4 t6 .,101 001 010,0 1 2 3,1,"[101, 7886, 1056, 2549, 1056, 2575, 1012, 102, 7886, 25604, 5890, 2692, 102, 0, 0, 0]"
101 t2 t1 .,101 011 010,0 1 2 3,1,"[101, 7886, 1056, 2475, 1056, 2487, 1012, 102, 7886, 5890, 2487, 5890, 2692, 102, 0, 0]"
010 t4 t5 .,010 010 110,0 1 2 3,1,"[101, 5890, 2692, 1056, 2549, 1056, 2629, 1012, 102, 5890, 2692, 5890, 2692, 7287, 102, 0]"
101 t2 t1 .,101 011 000,0 1 2 3,0,"[101, 7886, 1056, 2475, 1056, 2487, 1012, 102, 7886, 5890, 2487, 2199, 102, 0, 0, 0]"
011 t1 t4 .,011 001 010,0 1 2 3,0,"[101, 5890, 2487, 1056, 2487, 1056, 2549, 1012, 102, 5890, 2487, 25604, 5890, 2692, 102, 0]"
100 t6 t1 .,100 110 111,0 1 2 3,1,"[101, 2531, 1056, 2575, 1056, 2487, 1012, 102, 2531, 7287, 11118, 102, 0, 0, 0, 0]"
101 t1 t5 .,101 000 001,0 1 2 3,1,"[101, 7886, 1056, 2487, 1056, 2629, 1012, 102, 7886, 2199, 25604, 102, 0, 0, 0, 0]"
101 t6 t5 .,101 100 111,0 1 2 3,0,"[101, 7886, 1056, 2575, 1056, 2629, 1012, 102, 7886, 2531, 11118, 102, 0, 0, 0, 0]"
111 t3 .,111 110,0 1 2,1,"[101, 11118, 1056, 2509, 1012, 102, 11118, 7287, 102, 0, 0, 0, 0, 0, 0, 0]"
100 t2 t5 .,100 010 000,0 1 2 3,0,"[101, 2531, 1056, 2475, 1056, 2629, 1012, 102, 2531, 5890, 2692, 2199, 102, 0, 0, 0]"
000 t4 t2 .,000 000 101,0 1 2 3,1,"[101, 2199, 1056, 2549, 1056, 2475, 1012, 102, 2199, 2199, 7886, 102, 0, 0, 0, 0]"
111 t2 .,111 100,0 1 2,1,"[101, 11118, 1056, 2475, 1012, 102, 11118, 2531, 102, 0, 0, 0, 0, 0, 0, 0]"
000 t2 .,000 011,0 1 2,0,"[101, 2199, 1056, 2475, 1012, 102, 2199, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
100 t4 .,100 011,0 1 2,0,"[101, 2531, 1056, 2549, 1012, 102, 2531, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
001 t5 t5 .,001 010 100,0 1 2 3,0,"[101, 25604, 1056, 2629, 1056, 2629, 1012, 102, 25604, 5890, 2692, 2531, 102, 0, 0, 0]"
100 t5 .,100 101,0 1 2,1,"[101, 2531, 1056, 2629, 1012, 102, 2531, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
100 t2 t1 .,100 110 111,0 1 2 3,1,"[101, 2531, 1056, 2475, 1056, 2487, 1012, 102, 2531, 7287, 11118, 102, 0, 0, 0, 0]"
010 t3 .,010 101,0 1 2,0,"[101, 5890, 2692, 1056, 2509, 1012, 102, 5890, 2692, 7886, 102, 0, 0, 0, 0, 0]"
010 t6 t5 .,010 101 001,0 1 2 3,0,"[101, 5890, 2692, 1056, 2575, 1056, 2629, 1012, 102, 5890, 2692, 7886, 25604, 102, 0, 0]"
101 t5 t4 .,101 010 010,0 1 2 3,1,"[101, 7886, 1056, 2629, 1056, 2549, 1012, 102, 7886, 5890, 2692, 5890, 2692, 102, 0, 0]"
111 t2 t5 .,111 100 101,0 1 2 3,1,"[101, 11118, 1056, 2475, 1056, 2629, 1012, 102, 11118, 2531, 7886, 102, 0, 0, 0, 0]"
110 t3 t1 .,110 001 001,0 1 2 3,1,"[101, 7287, 1056, 2509, 1056, 2487, 1012, 102, 7287, 25604, 25604, 102, 0, 0, 0, 0]"
110 t1 t4 .,110 111 011,0 1 2 3,1,"[101, 7287, 1056, 2487, 1056, 2549, 1012, 102, 7287, 11118, 5890, 2487, 102, 0, 0, 0]"
101 t3 t1 .,101 000 110,0 1 2 3,1,"[101, 7886, 1056, 2509, 1056, 2487, 1012, 102, 7886, 2199, 7287, 102, 0, 0, 0, 0]"
001 t2 t2 .,001 010 101,0 1 2 3,0,"[101, 25604, 1056, 2475, 1056, 2475, 1012, 102, 25604, 5890, 2692, 7886, 102, 0, 0, 0]"
110 t2 t6 .,110 000 011,0 1 2 3,1,"[101, 7287, 1056, 2475, 1056, 2575, 1012, 102, 7287, 2199, 5890, 2487, 102, 0, 0, 0]"
100 t1 t1 .,100 011 010,0 1 2 3,1,"[101, 2531, 1056, 2487, 1056, 2487, 1012, 102, 2531, 5890, 2487, 5890, 2692, 102, 0, 0]"
101 t1 t5 .,101 010 011,0 1 2 3,0,"[101, 7886, 1056, 2487, 1056, 2629, 1012, 102, 7886, 5890, 2692, 5890, 2487, 102, 0, 0]"
011 t4 t4 .,011 101 001,0 1 2 3,1,"[101, 5890, 2487, 1056, 2549, 1056, 2549, 1012, 102, 5890, 2487, 7886, 25604, 102, 0, 0]"
101 t2 .,101 101,0 1 2,0,"[101, 7886, 1056, 2475, 1012, 102, 7886, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t4 t3 .,110 000 011,0 1 2 3,0,"[101, 7287, 1056, 2549, 1056, 2509, 1012, 102, 7287, 2199, 5890, 2487, 102, 0, 0, 0]"
000 t4 t1 .,000 010 001,0 1 2 3,0,"[101, 2199, 1056, 2549, 1056, 2487, 1012, 102, 2199, 5890, 2692, 25604, 102, 0, 0, 0]"
101 t2 t4 .,101 000 001,0 1 2 3,0,"[101, 7886, 1056, 2475, 1056, 2549, 1012, 102, 7886, 2199, 25604, 102, 0, 0, 0, 0]"
010 t3 t6 .,010 101 101,0 1 2 3,0,"[101, 5890, 2692, 1056, 2509, 1056, 2575, 1012, 102, 5890, 2692, 7886, 7886, 102, 0, 0]"
111 t1 t5 .,111 100 011,0 1 2 3,0,"[101, 11118, 1056, 2487, 1056, 2629, 1012, 102, 11118, 2531, 5890, 2487, 102, 0, 0, 0]"
110 t1 t5 .,110 001 001,0 1 2 3,0,"[101, 7287, 1056, 2487, 1056, 2629, 1012, 102, 7287, 25604, 25604, 102, 0, 0, 0, 0]"
111 t2 t6 .,111 101 100,0 1 2 3,0,"[101, 11118, 1056, 2475, 1056, 2575, 1012, 102, 11118, 7886, 2531, 102, 0, 0, 0, 0]"
000 t5 t5 .,000 011 111,0 1 2 3,0,"[101, 2199, 1056, 2629, 1056, 2629, 1012, 102, 2199, 5890, 2487, 11118, 102, 0, 0, 0]"
111 t6 .,111 100,0 1 2,1,"[101, 11118, 1056, 2575, 1012, 102, 11118, 2531, 102, 0, 0, 0, 0, 0, 0, 0]"
011 t4 t5 .,011 011 000,0 1 2 3,0,"[101, 5890, 2487, 1056, 2549, 1056, 2629, 1012, 102, 5890, 2487, 5890, 2487, 2199, 102, 0]"
100 t6 t6 .,100 110 001,0 1 2 3,1,"[101, 2531, 1056, 2575, 1056, 2575, 1012, 102, 2531, 7287, 25604, 102, 0, 0, 0, 0]"
101 t2 t5 .,101 001 111,0 1 2 3,0,"[101, 7886, 1056, 2475, 1056, 2629, 1012, 102, 7886, 25604, 11118, 102, 0, 0, 0, 0]"
111 t4 t3 .,111 100 001,0 1 2 3,0,"[101, 11118, 1056, 2549, 1056, 2509, 1012, 102, 11118, 2531, 25604, 102, 0, 0, 0, 0]"
001 t5 .,001 000,0 1 2,1,"[101, 25604, 1056, 2629, 1012, 102, 25604, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
001 t3 t1 .,001 010 000,0 1 2 3,0,"[101, 25604, 1056, 2509, 1056, 2487, 1012, 102, 25604, 5890, 2692, 2199, 102, 0, 0, 0]"
001 t3 .,001 011,0 1 2,0,"[101, 25604, 1056, 2509, 1012, 102, 25604, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
101 t1 .,101 010,0 1 2,0,"[101, 7886, 1056, 2487, 1012, 102, 7886, 5890, 2692, 102, 0, 0, 0, 0, 0, 0]"
100 t2 t2 .,100 000 101,0 1 2 3,0,"[101, 2531, 1056, 2475, 1056, 2475, 1012, 102, 2531, 2199, 7886, 102, 0, 0, 0, 0]"
110 t4 t1 .,110 100 011,0 1 2 3,0,"[101, 7287, 1056, 2549, 1056, 2487, 1012, 102, 7287, 2531, 5890, 2487, 102, 0, 0, 0]"
100 t3 t6 .,100 011 111,0 1 2 3,1,"[101, 2531, 1056, 2509, 1056, 2575, 1012, 102, 2531, 5890, 2487, 11118, 102, 0, 0, 0]"
100 t4 t2 .,100 011 000,0 1 2 3,0,"[101, 2531, 1056, 2549, 1056, 2475, 1012, 102, 2531, 5890, 2487, 2199, 102, 0, 0, 0]"
111 t1 t2 .,111 001 010,0 1 2 3,0,"[101, 11118, 1056, 2487, 1056, 2475, 1012, 102, 11118, 25604, 5890, 2692, 102, 0, 0, 0]"
101 t5 .,101 000,0 1 2,0,"[101, 7886, 1056, 2629, 1012, 102, 7886, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
011 t4 .,011 101,0 1 2,1,"[101, 5890, 2487, 1056, 2549, 1012, 102, 5890, 2487, 7886, 102, 0, 0, 0, 0, 0]"
001 t2 .,001 001,0 1 2,1,"[101, 25604, 1056, 2475, 1012, 102, 25604, 25604, 102, 0, 0, 0, 0, 0, 0, 0]"
101 t4 t3 .,101 001 101,0 1 2 3,1,"[101, 7886, 1056, 2549, 1056, 2509, 1012, 102, 7886, 25604, 7886, 102, 0, 0, 0, 0]"
101 t1 t3 .,101 011 110,0 1 2 3,0,"[101, 7886, 1056, 2487, 1056, 2509, 1012, 102, 7886, 5890, 2487, 7287, 102, 0, 0, 0]"
001 t7 .,001 000,0 1 2,0,"[101, 25604, 1056, 2581, 1012, 102, 25604, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t5 t2 .,110 011 111,0 1 2 3,1,"[101, 7287, 1056, 2629, 1056, 2475, 1012, 102, 7287, 5890, 2487, 11118, 102, 0, 0, 0]"
010 t4 t1 .,010 011 001,0 1 2 3,0,"[101, 5890, 2692, 1056, 2549, 1056, 2487, 1012, 102, 5890, 2692, 5890, 2487, 25604, 102, 0]"
100 t2 t1 .,100 111 000,0 1 2 3,0,"[101, 2531, 1056, 2475, 1056, 2487, 1012, 102, 2531, 11118, 2199, 102, 0, 0, 0, 0]"
000 t3 .,000 011,0 1 2,0,"[101, 2199, 1056, 2509, 1012, 102, 2199, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
101 t1 t1 .,101 000 110,0 1 2 3,1,"[101, 7886, 1056, 2487, 1056, 2487, 1012, 102, 7886, 2199, 7287, 102, 0, 0, 0, 0]"
000 t5 t1 .,000 001 001,0 1 2 3,1,"[101, 2199, 1056, 2629, 1056, 2487, 1012, 102, 2199, 25604, 25604, 102, 0, 0, 0, 0]"
111 t3 .,111 100,0 1 2,0,"[101, 11118, 1056, 2509, 1012, 102, 11118, 2531, 102, 0, 0, 0, 0, 0, 0, 0]"
101 t5 t1 .,101 010 101,0 1 2 3,1,"[101, 7886, 1056, 2629, 1056, 2487, 1012, 102, 7886, 5890, 2692, 7886, 102, 0, 0, 0]"
100 t6 t5 .,100 011 110,0 1 2 3,0,"[101, 2531, 1056, 2575, 1056, 2629, 1012, 102, 2531, 5890, 2487, 7287, 102, 0, 0, 0]"
011 t5 t5 .,011 100 101,0 1 2 3,1,"[101, 5890, 2487, 1056, 2629, 1056, 2629, 1012, 102, 5890, 2487, 2531, 7886, 102, 0, 0]"
101 t4 t6 .,101 101 110,0 1 2 3,0,"[101, 7886, 1056, 2549, 1056, 2575, 1012, 102, 7886, 7886, 7287, 102, 0, 0, 0, 0]"
011 t4 t5 .,011 101 010,0 1 2 3,1,"[101, 5890, 2487, 1056, 2549, 1056, 2629, 1012, 102, 5890, 2487, 7886, 5890, 2692, 102, 0]"
110 t3 t6 .,110 101 001,0 1 2 3,0,"[101, 7287, 1056, 2509, 1056, 2575, 1012, 102, 7287, 7886, 25604, 102, 0, 0, 0, 0]"
011 t2 t3 .,011 000 110,0 1 2 3,0,"[101, 5890, 2487, 1056, 2475, 1056, 2509, 1012, 102, 5890, 2487, 2199, 7287, 102, 0, 0]"
011 t1 t2 .,011 101 000,0 1 2 3,0,"[101, 5890, 2487, 1056, 2487, 1056, 2475, 1012, 102, 5890, 2487, 7886, 2199, 102, 0, 0]"
100 t2 .,100 111,0 1 2,0,"[101, 2531, 1056, 2475, 1012, 102, 2531, 11118, 102, 0, 0, 0, 0, 0, 0, 0]"
111 t1 .,111 111,0 1 2,0,"[101, 11118, 1056, 2487, 1012, 102, 11118, 11118, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t4 .,110 110,0 1 2,1,"[101, 7287, 1056, 2549, 1012, 102, 7287, 7287, 102, 0, 0, 0, 0, 0, 0, 0]"
111 t3 t4 .,111 101 010,0 1 2 3,0,"[101, 11118, 1056, 2509, 1056, 2549, 1012, 102, 11118, 7886, 5890, 2692, 102, 0, 0, 0]"
000 t6 .,000 101,0 1 2,0,"[101, 2199, 1056, 2575, 1012, 102, 2199, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
001 t4 .,001 000,0 1 2,0,"[101, 25604, 1056, 2549, 1012, 102, 25604, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
101 t4 .,101 001,0 1 2,1,"[101, 7886, 1056, 2549, 1012, 102, 7886, 25604, 102, 0, 0, 0, 0, 0, 0, 0]"
101 t1 t4 .,101 000 000,0 1 2 3,1,"[101, 7886, 1056, 2487, 1056, 2549, 1012, 102, 7886, 2199, 2199, 102, 0, 0, 0, 0]"
111 t4 t2 .,111 101 100,0 1 2 3,0,"[101, 11118, 1056, 2549, 1056, 2475, 1012, 102, 11118, 7886, 2531, 102, 0, 0, 0, 0]"
110 t2 t4 .,110 000 000,0 1 2 3,1,"[101, 7287, 1056, 2475, 1056, 2549, 1012, 102, 7287, 2199, 2199, 102, 0, 0, 0, 0]"
011 t2 t4 .,011 110 010,0 1 2 3,0,"[101, 5890, 2487, 1056, 2475, 1056, 2549, 1012, 102, 5890, 2487, 7287, 5890, 2692, 102, 0]"
110 t1 t3 .,110 110 001,0 1 2 3,0,"[101, 7287, 1056, 2487, 1056, 2509, 1012, 102, 7287, 7287, 25604, 102, 0, 0, 0, 0]"
111 t4 t5 .,111 011 100,0 1 2 3,1,"[101, 11118, 1056, 2549, 1056, 2629, 1012, 102, 11118, 5890, 2487, 2531, 102, 0, 0, 0]"
111 t7 .,111 101,0 1 2,0,"[101, 11118, 1056, 2581, 1012, 102, 11118, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
011 t5 t4 .,011 100 111,0 1 2 3,1,"[101, 5890, 2487, 1056, 2629, 1056, 2549, 1012, 102, 5890, 2487, 2531, 11118, 102, 0, 0]"
000 t1 t2 .,000 110 000,0 1 2 3,1,"[101, 2199, 1056, 2487, 1056, 2475, 1012, 102, 2199, 7287, 2199, 102, 0, 0, 0, 0]"
011 t5 t2 .,011 111 011,0 1 2 3,0,"[101, 5890, 2487, 1056, 2629, 1056, 2475, 1012, 102, 5890, 2487, 11118, 5890, 2487, 102, 0]"
000 t1 .,000 111,0 1 2,0,"[101, 2199, 1056, 2487, 1012, 102, 2199, 11118, 102, 0, 0, 0, 0, 0, 0, 0]"
000 t6 t1 .,000 011 010,0 1 2 3,1,"[101, 2199, 1056, 2575, 1056, 2487, 1012, 102, 2199, 5890, 2487, 5890, 2692, 102, 0, 0]"
100 t6 t5 .,100 110 011,0 1 2 3,1,"[101, 2531, 1056, 2575, 1056, 2629, 1012, 102, 2531, 7287, 5890, 2487, 102, 0, 0, 0]"
110 t3 .,110 100,0 1 2,0,"[101, 7287, 1056, 2509, 1012, 102, 7287, 2531, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t6 t6 .,110 001 010,0 1 2 3,1,"[101, 7287, 1056, 2575, 1056, 2575, 1012, 102, 7287, 25604, 5890, 2692, 102, 0, 0, 0]"
101 t6 t6 .,101 000 001,0 1 2 3,0,"[101, 7886, 1056, 2575, 1056, 2575, 1012, 102, 7886, 2199, 25604, 102, 0, 0, 0, 0]"
101 t3 t2 .,101 001 011,0 1 2 3,0,"[101, 7886, 1056, 2509, 1056, 2475, 1012, 102, 7886, 25604, 5890, 2487, 102, 0, 0, 0]"
011 t3 t4 .,011 100 111,0 1 2 3,1,"[101, 5890, 2487, 1056, 2509, 1056, 2549, 1012, 102, 5890, 2487, 2531, 11118, 102, 0, 0]"
001 t1 t3 .,001 001 101,0 1 2 3,1,"[101, 25604, 1056, 2487, 1056, 2509, 1012, 102, 25604, 25604, 7886, 102, 0, 0, 0, 0]"
001 t5 t1 .,001 000 110,0 1 2 3,1,"[101, 25604, 1056, 2629, 1056, 2487, 1012, 102, 25604, 2199, 7287, 102, 0, 0, 0, 0]"
110 t4 t1 .,110 110 111,0 1 2 3,1,"[101, 7287, 1056, 2549, 1056, 2487, 1012, 102, 7287, 7287, 11118, 102, 0, 0, 0, 0]"
001 t2 .,001 110,0 1 2,0,"[101, 25604, 1056, 2475, 1012, 102, 25604, 7287, 102, 0, 0, 0, 0, 0, 0, 0]"
111 t5 t4 .,111 111 011,0 1 2 3,1,"[101, 11118, 1056, 2629, 1056, 2549, 1012, 102, 11118, 11118, 5890, 2487, 102, 0, 0, 0]"
011 t1 t3 .,011 010 010,0 1 2 3,1,"[101, 5890, 2487, 1056, 2487, 1056, 2509, 1012, 102, 5890, 2487, 5890, 2692, 5890, 2692, 102]"
001 t2 t5 .,001 001 000,0 1 2 3,1,"[101, 25604, 1056, 2475, 1056, 2629, 1012, 102, 25604, 25604, 2199, 102, 0, 0, 0, 0]"
001 t1 .,001 101,0 1 2,0,"[101, 25604, 1056, 2487, 1012, 102, 25604, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
100 t5 t5 .,100 011 110,0 1 2 3,0,"[101, 2531, 1056, 2629, 1056, 2629, 1012, 102, 2531, 5890, 2487, 7287, 102, 0, 0, 0]"
110 t1 t1 .,110 111 100,0 1 2 3,1,"[101, 7287, 1056, 2487, 1056, 2487, 1012, 102, 7287, 11118, 2531, 102, 0, 0, 0, 0]"
001 t8 .,001 101,0 1 2,0,"[101, 25604, 1056, 2620, 1012, 102, 25604, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
001 t2 t6 .,001 001 010,0 1 2 3,1,"[101, 25604, 1056, 2475, 1056, 2575, 1012, 102, 25604, 25604, 5890, 2692, 102, 0, 0, 0]"
